Year,Value
1961,714535.6189
1962,737263.3451
1963,761384.0015
1964,777157.7629
1965,793165.5252
1966,814171.3746
1967,843564.5175
1968,863980.0461
1969,866103.1356
1970,891659.2338
1971,906608.5924
1972,905448.2464
1973,938724.7104
1974,956865.701
1975,986058.1334
1976,993255.4995
1977,1017840.71
1978,1054943.759
1979,1082997.124
1980,1076554.015
1981,1106290.538
1982,1148369.707
1983,1153814.097
1984,1212142.904
1985,1232780.232
1986,1251663.405
1987,1263619.862
1988,1273781.068
1989,1312400.135
1990,1345758.378
1991,1359186.886
1992,1514065.616
1993,1528886.788
1994,1574833.588
1995,1602878.043
1996,1665788.331
1997,1685285.475
1998,1711383.892
1999,1763566.16
2000,1798259.807
2001,1808591.417
2002,1841537.352
2003,1871853.802
2004,1949397.553
2005,1983391.65
2006,2024442.399
2007,2077403.676
2008,2157298.137
2009,2171398.998
2010,2213427.446
2011,2279145.799
2012,2301031.078
2013,2372234.94
2014,2416155.156
2015,2439044.584
2016,2456231.346
